disYear,disMonth,disDate,disDay,disQuantity,disQuantityRate,disCount,disCountRate
2018,06,28,5,1974873826,3.01,1139626,3.14
2018,06,29,6,2251339958,3.43,1273856,3.51
2018,06,30,7,2189689107,3.33,1195484,3.3
2018,07,01,1,2339395446,3.1,1271729,3.03
2018,07,02,2,2684710848,3.56,1353166,3.22
2018,07,03,3,2329280889,3.09,1274430,3.03
2018,07,04,4,2404646288,3.19,1381776,3.29
2018,07,05,5,2140032210,2.84,1248101,2.97
2018,07,06,6,2140731557,2.84,1220372,2.9
2018,07,07,7,2220713004,2.95,1244414,2.96
2018,07,08,1,2261568338,3.0,1278997,3.04
2018,07,09,2,2375077929,3.15,1213735,2.89
2018,07,10,3,2415389599,3.21,1370599,3.26
2018,07,11,4,2293739057,3.04,1335057,3.18
2018,07,12,5,2261337789,3.0,1349792,3.21
2018,07,13,6,2265240290,3.01,1309947,3.12
2018,07,14,7,2382860577,3.16,1330697,3.17
2018,07,15,1,2724859009,3.62,1526444,3.63
2018,07,16,2,2838086529,3.77,1482175,3.53
2018,07,17,3,2563676798,3.4,1430787,3.4
2018,07,18,4,2494957837,3.31,1411977,3.36
2018,07,19,5,2356063028,3.13,1376131,3.27
2018,07,20,6,2350342883,3.12,1332835,3.17
2018,07,21,7,2435788959,3.23,1342418,3.19
2018,07,22,1,2682768848,3.56,1506453,3.58
2018,07,23,2,2829088119,3.75,1469228,3.5
2018,07,24,3,2465760492,3.27,1380446,3.28
2018,07,25,4,2374252097,3.15,1377561,3.28
2018,07,26,5,2310908676,3.07,1359774,3.24
2018,07,27,6,2376240683,3.15,1341628,3.19
2018,07,28,7,2375893310,3.15,1324819,3.15
2018,07,29,1,2538041937,3.37,1445320,3.44
2018,07,30,2,2712938780,3.6,1396532,3.32
2018,07,31,3,2411754331,3.2,1337445,3.18
2018,08,01,4,2323604987,3.53,1323767,3.35
2018,08,02,5,2257934733,3.43,1308030,3.31
2018,08,03,6,2243521218,3.41,1266863,3.2
2018,08,04,7,2164072649,3.29,1249727,3.16
2018,08,05,1,2362452954,3.59,1392071,3.52
2018,08,06,2,2568255388,3.9,1369897,3.46
2018,08,07,3,2274094937,3.45,1330825,3.36
2018,08,08,4,2180703446,3.31,1315957,3.33
2018,08,09,5,2098749899,3.19,1292981,3.27
2018,08,10,6,2084939417,3.17,1252489,3.17
2018,08,11,7,2064625246,3.14,1235858,3.12
2018,08,12,1,2248834458,3.42,1371231,3.47
2018,08,13,2,2436832736,3.7,1350609,3.41
2018,08,14,3,2060394959,3.13,1239000,3.13
2018,08,15,4,2148066879,3.26,1305257,3.3
2018,08,16,5,2190526003,3.33,1327865,3.36
2018,08,17,6,2042579335,3.1,1221923,3.09
2018,08,18,7,1984328684,3.01,1205285,3.05
2018,08,19,1,2237556121,3.4,1391115,3.52
2018,08,20,2,2371368273,3.6,1332194,3.37
2018,08,21,3,2036571091,3.09,1251581,3.16
2018,08,22,4,2040715220,3.1,1313759,3.32
2018,08,23,5,1820595974,2.76,1203990,3.04
2018,08,24,6,1894785563,2.88,1191701,3.01
2018,08,25,7,1936203833,2.94,1215902,3.07
2018,08,26,1,2033380624,3.09,1284349,3.25
2018,08,27,2,2196872504,3.34,1241798,3.14
2018,08,28,3,1843639009,2.8,1113825,2.82
2018,08,29,4,1916464734,2.91,1219143,3.08
2018,08,30,5,1956822447,2.97,1268674,3.21
2018,08,31,6,1831360091,2.78,1161983,2.94
2018,09,01,7,1872271201,2.91,1167664,3.05
2018,09,02,1,2166782894,3.36,1388806,3.63
2018,09,03,2,2075139852,3.22,1176129,3.07
2018,09,04,3,2080256071,3.23,1307789,3.42
2018,09,05,4,1886567650,2.93,1221836,3.19
2018,09,06,5,1802875158,2.8,1200150,3.13
2018,09,07,6,1806110241,2.8,1148551,3.0
2018,09,08,7,1834773012,2.85,1148040,3.0
2018,09,09,1,2115076852,3.28,1348052,3.52
2018,09,10,2,2236276720,3.47,1291191,3.37
2018,09,11,3,1909087984,2.96,1186620,3.1
2018,09,12,4,1876555326,2.91,1207740,3.15
2018,09,13,5,1777272561,2.76,1155337,3.02
2018,09,14,6,1855358147,2.88,1149255,3.0
2018,09,15,7,1957143766,3.04,1191255,3.11
2018,09,16,1,2274682848,3.53,1411203,3.69
2018,09,17,2,2422025402,3.76,1367595,3.57
2018,09,18,3,2129237677,3.3,1264424,3.3
2018,09,19,4,2056939860,3.19,1253209,3.27
2018,09,20,5,2006242408,3.11,1193680,3.12
2018,09,21,6,2369657925,3.68,1342238,3.51
2018,09,22,7,3122076047,4.85,1725446,4.51
2018,09,23,1,3061955346,4.75,1725043,4.51
2018,09,24,2,2002480987,3.11,1136374,2.97
2018,09,25,3,2309357487,3.58,1141470,2.98
